ID,Address, Place of Occurrence,Acts,LATITUDE,LONGITUDE,Section
25,khempur ,CHHACHHRAULI,"BETTING & GAMBLING  under THE PUBLIC GAMBLING ACT, 1867",30.246338,77.353413,67
26,chachrauli,CHHACHHRAULI,DEATH BY NEGLIGENCE under IPC 1860,30.249482,77.360016,304
27,chachrauli,CHHACHHRAULI,RASH DRIVING ENDANGERING LIFE/PROPERTY under IPC 1860,30.245357,77.362992,338
28,chachrauli,CHHACHHRAULI,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.246049,77.359991,148
29,chachrauli,CHHACHHRAULI,"SUPPLYING OF WEAPONS under ARMS ACT, 1959",30.238558,77.354227,54
30,chachrauli,CHHACHHRAULI,DEATH BY NEGLIGENCE under IPC 1860,30.229493,77.363216,304
31,Vill Mussimbal,CHHAPAR,RASH DRIVING ENDANGERING LIFE/PROPERTY under IPC 1860,30.21901,77.172051,338
32,Vill Uncha Chandna,CHHAPAR,THEFT BY TIREPASSING HOUSE under IPC 1860,30.223751,77.173172,454
33,Vill Ajijpur,CHHAPAR,DISHONESTY under IPC 1860,30.222078,77.166526,420
34,Near Ravidas Mandir Chhapar,CHHAPAR,"BETTING & GAMBLING  under THE PUBLIC GAMBLING ACT, 1867",30.22045,77.171826,67
35,town hall,CHHAPAR,RASH DRIVING ENDANGERING LIFE/PROPERTY under IPC 1860,30.222682,77.174006,338
36,parishad gaon,CHHAPAR,RASH DRIVING ENDANGERING LIFE/PROPERTY under IPC 1860,30.218402,77.165882,338
37,SABILPUR JATTAN,CHHAPAR,THEFT under IPC 1860,30.221061,77.163939,379
38,near thana,CHHAPAR,RASH DRIVING ENDANGERING LIFE/PROPERTY under IPC 1860,30.221061,77.171897,338
39,Mustafabad,CHHAPAR,DISHONESTY under IPC 1860,30.221061,77.171897,420
40,NEAR main highway,CHHAPAR,RASH DRIVING ENDANGERING LIFE/PROPERTY under IPC 1860,30.216682,77.17342,338
42,near holi mother school ynr,FARAKPUR,"ILLEGAL TRADE OF DRUGS under NARCOTIC DRUGS ACT, 1985",30.146256,77.262972,61
43,camp ynr,FARAKPUR,"BETTING & GAMBLING  under THE PUBLIC GAMBLING ACT, 1867",30.129225,77.256764,67
44,Shivnagar Colony,FARAKPUR,ASSAULT/ FORCE TO WOMEN under IPC 1860,30.130445,77.268233,354
45,Shivpuri A Kansapur Yamunanagar,FARAKPUR,THEFT under IPC 1860,30.156575,77.273698,379
46,Shivnagar Colony,FARAKPUR,THEFT under IPC 1860,30.15138,77.256745,379
47,Vishnu Nagar YamunaNagar,FARAKPUR,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.132145,77.254524,148
48,Vishnu Nagar Yu Nagar,FARAKPUR,"SUPPLYING OF WEAPONS under ARMS ACT, 1959",30.139567,77.266542,54
49,Vishnu Nagar Yu Nagar,FARAKPUR,"SUPPLYING OF WEAPONS under ARMS ACT, 1959",30.138046,77.247185,54
50,Guruteg Bahadur Nagar war 0 City,FARAKPUR,THEFT BY TIREPASSING HOUSE under IPC 1860,30.138368,77.254623,454
51,Ranjit Colony camp Yamunanagar,FARAKPUR,CARRYING OF ILLEGAL ARMED WEAPON under IPC 1860,30.126979,77.263285,148
52,Munda Khera jagadhari,JAGADDHRI SADAR,THEFT BY TIREPASSING HOUSE under IPC 1860,30.227529,77.335995,454
53,Sempur Jagadhari,JAGADDHRI SADAR,KIDNAPPING BY FORCE under IPC 1860,30.237769,77.318623,363
54,Sempur Jagadhari,JAGADDHRI SADAR,THEFT under IPC 1860,30.234914,77.314235,379
55,Bhojpur jagadhari,JAGADDHRI SADAR,"ILLEGAL TRADE OF DRUGS under NARCOTIC DRUGS ACT, 1985",30.146243,77.330215,61
56,INDUSTRIES AREA MANAKPUR,JAGADDHRI SADAR,THEFT under IPC 1860,30.195431,77.330199,379
